NAME                                         VERSION               TYPE           
Hidden Input                                 1, 0, 0, 0            binary          
acl-libs                                     2.3.2-r1              apk             
alpine-baselayout                            3.7.0-r0              apk             
alpine-baselayout-data                       3.7.0-r0              apk             
alpine-keys                                  2.5-r0                apk             
alpine-release                               3.22.2-r0             apk             
anourvalar/eloquent-serialize                1.3.4                 php-composer    
aom-libs                                     3.12.1-r0             apk             
apache2-utils                                2.4.65-r0             apk             
apk-tools                                    2.14.9-r3             apk             
apr                                          1.7.5-r0              apk             
apr-util                                     1.6.3-r1              apk             
argon2-libs                                  20190702-r5           apk             
bash                                         5.2.37-r0             apk             
blade-ui-kit/blade-heroicons                 2.6.0                 php-composer    
blade-ui-kit/blade-icons                     1.8.0                 php-composer    
brick/math                                   0.14.1                php-composer    
brotli-libs                                  1.1.0-r2              apk             
busybox                                      1.37.0-r19            apk             
busybox-binsh                                1.37.0-r19            apk             
c-ares                                       1.34.5-r0             apk             
ca-certificates                              20250911-r0           apk             
ca-certificates-bundle                       20250911-r0           apk             
carbonphp/carbon-doctrine-types              3.2.0                 php-composer    
catatonit                                    0.2.1-r0              apk             
chillerlan/php-qrcode                        5.0.5                 php-composer    
chillerlan/php-settings-container            3.2.1                 php-composer    
chrisullyott/php-filesize                    v4.2.1                php-composer    
clue/stream-filter                           v1.7.0                php-composer    
codewithdennis/filament-simple-alert         v4.0.2                php-composer    
composer                                     2.9.2                 binary          
coreutils                                    9.7-r1                apk             
coreutils-env                                9.7-r1                apk             
coreutils-fmt                                9.7-r1                apk             
coreutils-sha512sum                          9.7-r1                apk             
curl                                         8.14.1-r2             apk             
danharrin/date-format-converter              v0.3.1                php-composer    
danharrin/livewire-rate-limiting             v2.1.0                php-composer    
dflydev/dot-access-data                      v3.0.3                php-composer    
doctrine/deprecations                        1.1.5                 php-composer    
doctrine/inflector                           2.1.0                 php-composer    
doctrine/lexer                               3.0.1                 php-composer    
dragonmantank/cron-expression                v3.6.0                php-composer    
egulias/email-validator                      4.0.4                 php-composer    
filament/actions                             v4.1.0                php-composer    
filament/filament                            v4.1.0                php-composer    
filament/forms                               v4.1.0                php-composer    
filament/infolists                           v4.1.0                php-composer    
filament/notifications                       v4.1.0                php-composer    
filament/schemas                             v4.1.0                php-composer    
filament/spatie-laravel-settings-plugin      v4.1.0                php-composer    
filament/support                             v4.1.0                php-composer    
filament/tables                              v4.1.0                php-composer    
filament/widgets                             v4.1.0                php-composer    
findutils                                    4.10.0-r0             apk             
freetype                                     2.13.3-r0             apk             
fruitcake/php-cors                           v1.3.0                php-composer    
geerlingguy/ping                             1.2.1                 php-composer    
git                                          2.49.1-r0             apk             
git-init-template                            2.49.1-r0             apk             
graham-campbell/result-type                  v1.1.3                php-composer    
grep                                         3.12-r0               apk             
guzzlehttp/guzzle                            7.10.0                php-composer    
guzzlehttp/promises                          2.3.0                 php-composer    
